current_path,future_path,status
/arutiun/,/,redirect
/arutiun/index.html,/,redirect
/arutiun/entrepreneurs.html,/entrepreneurs.html,preserve
/arutiun/individual.html,/individual.html,preserve
/arutiun/approach.html,/approach.html,preserve
/arutiun/about.html,/about.html,preserve
/arutiun/kasuti.html,/kasuti.html,preserve
/arutiun/video.html,/video.html,preserve
/arutiun/cases.html,/cases.html,preserve
/arutiun/diagnostic.html,/diagnostic.html,preserve
/arutiun/contact.html,/contact.html,preserve
/arutiun/materialy.html,/materialy.html,preserve
/arutiun/online.html,/online.html,preserve
/arutiun/format.html,/format.html,preserve
/arutiun/materialy/{slug}.html,/materialy/{slug}.html,preserve
/arutiun/politika-obrabotki-pd.html,/politika-obrabotki-pd.html,preserve
/arutiun/polzovatelskoe-soglashenie.html,/polzovatelskoe-soglashenie.html,preserve
